Word,OccurTotal,OccurNum,Freq_pm,Rating.Mean,Rating.SD,Dunno
derision,18,13,0.1568627450980392,13.38,4.05,0.7222222222222222
derisive,19,17,0.0392156862745098,14.06,4.12,0.8947368421052632
derivation,20,18,0.2549019607843137,14.22,3.42,0.9
derivative,18,18,0.7647058823529411,14.44,3.85,1.0
derive,19,19,0.6862745098039216,12.0,3.68,1.0
derma,18,15,0.09803921568627451,13.93,3.77,0.8333333333333334
dermal,18,13,0.09803921568627451,14.15,3.05,0.7222222222222222
dermatitis,18,14,0.0784313725490196,14.93,2.87,0.7777777777777778
dermatological,18,18,0.058823529411764705,13.0,3.48,1.0
dermatologist,21,21,0.5490196078431373,12.62,2.96,1.0
dermatology,20,20,0.17647058823529413,12.3,2.87,1.0
dermatome,18,4,0.0196078431372549,16.75,4.11,0.2222222222222222
dermis,20,17,0.058823529411764705,13.94,3.88,0.85
dernier,19,7,0.0196078431372549,12.57,5.16,0.3684210526315789
derogatory,20,20,0.6078431372549019,13.35,1.79,1.0
derriere,18,17,0.3333333333333333,13.12,4.15,0.9444444444444444
derringer,19,11,0.35294117647058826,12.82,5.0,0.5789473684210527
dervish,19,15,0.27450980392156865,14.13,3.83,0.7894736842105263
desalinization,20,13,0.058823529411764705,16.15,2.54,0.65
descant,19,8,0.0196078431372549,13.5,5.45,0.42105263157894735
descend,21,21,1.9215686274509804,9.19,3.5,1.0
descendant,19,18,1.0784313725490196,9.61,3.16,0.9473684210526315
descent,19,19,2.588235294117647,9.84,2.67,1.0
describe,18,18,16.980392156862745,7.67,2.54,1.0
description,20,20,12.647058823529411,8.8,2.17,1.0
descriptive,18,17,0.39215686274509803,7.94,2.95,0.9444444444444444
descriptor,20,18,0.0196078431372549,11.22,2.73,0.9
desecrate,19,19,0.39215686274509803,12.26,3.02,1.0
desecration,20,20,0.45098039215686275,13.85,3.8,1.0
desecrator,21,16,0.0196078431372549,13.88,4.32,0.7619047619047619
desegregate,19,19,0.0196078431372549,11.95,4.6,1.0
desegregation,20,17,0.0392156862745098,12.29,2.64,0.85
deselect,20,18,,11.454304,3.64,0.9
desensitization,19,17,0.058823529411764705,15.53,2.83,0.8947368421052632
desensitize,18,16,0.0784313725490196,13.69,3.75,0.8888888888888888
desert,20,20,27.980392156862745,8.35,3.1,1.0
deserter,18,17,0.7254901960784313,10.76,2.14,0.9444444444444444
desertion,18,18,0.7450980392156863,12.33,3.29,1.0
deserve,18,18,43.72549019607843,7.94,3.04,1.0
deserving,18,18,0.9803921568627451,7.67,2.89,1.0
desiccant,21,6,,15.33,2.16,0.2857142857142857
desiccate,19,14,0.0196078431372549,15.14,4.67,0.7368421052631579
desiccated,20,13,0.2549019607843137,12.69,2.95,0.65
desiccation,19,14,0.09803921568627451,13.64,3.32,0.7368421052631579
design,20,20,16.19607843137255,10.05,3.55,1.0
designate,20,20,0.6078431372549019,11.6,2.8,1.0
designated,18,18,2.588235294117647,11.44,4.13,1.0
designation,18,17,0.21568627450980393,11.82,2.13,0.9444444444444444
designator,20,20,0.0392156862745098,12.2,2.48,1.0
designee,19,16,0.0196078431372549,14.88,4.11,0.8421052631578947
designer,20,20,5.235294117647059,9.05,1.85,1.0
desirability,21,20,0.09803921568627451,12.1,2.1,0.9523809523809523
desirable,19,19,1.9411764705882353,11.0,2.45,1.0
desire,19,19,20.274509803921568,9.95,3.22,1.0
desirous,20,17,0.23529411764705882,12.94,3.31,0.85
desist,18,18,0.9607843137254902,13.33,4.34,1.0
desk,18,18,43.90196078431372,5.56,2.2,1.0
deskbound,21,17,0.0196078431372549,11.47,3.02,0.8095238095238095
desktop,20,20,0.09803921568627451,8.85,4.39,1.0
desolate,18,17,0.9803921568627451,12.06,3.38,0.9444444444444444
desolated,18,18,0.058823529411764705,12.06,2.15,1.0
desolation,20,19,0.6078431372549019,12.79,3.14,0.95
despair,18,18,5.862745098039215,9.56,2.94,1.0
despairing,19,19,0.19607843137254902,12.79,3.1,1.0
desperado,20,19,0.43137254901960786,12.79,3.08,0.95
desperate,18,18,25.686274509803923,9.22,2.67,1.0
desperately,22,22,5.823529411764706,9.881666,2.91,1.0
desperateness,18,16,0.0196078431372549,13.31,3.24,0.8888888888888888
desperation,18,18,3.019607843137255,11.28,2.82,1.0
despicable,19,19,2.0980392156862746,10.89,4.25,1.0
despise,22,21,4.509803921568627,12.38,2.64,0.9545454545454546
despite,21,21,13.0,9.109764,2.5,1.0
despoil,20,13,0.0392156862745098,15.62,3.91,0.65
despondency,21,15,0.058823529411764705,13.93,3.63,0.7142857142857143
despondent,18,16,0.47058823529411764,14.62,3.18,0.8888888888888888
despot,19,14,0.21568627450980393,13.5,4.57,0.7368421052631579
despotism,20,15,0.058823529411764705,14.0,4.04,0.75
dessert,18,18,14.019607843137255,5.61,3.45,1.0
destabilization,18,18,0.0196078431372549,13.94,3.61,1.0
destabilize,18,18,0.1568627450980392,12.33,3.22,1.0
destination,18,18,5.882352941176471,8.56,2.45,1.0
destine,19,10,0.0196078431372549,12.5,1.84,0.5263157894736842
destiny,19,19,23.03921568627451,10.21,2.04,1.0
destitute,18,14,0.7058823529411765,11.43,3.27,0.7777777777777778
destitution,22,20,0.0392156862745098,13.55,2.37,0.9090909090909091
destroy,20,20,47.1764705882353,6.7,2.32,1.0
destroyer,19,19,3.627450980392157,7.74,2.1,1.0
destruct,18,16,0.6078431372549019,8.81,2.56,0.8888888888888888
destructible,19,19,0.0196078431372549,10.21,2.76,1.0
destruction,21,21,11.509803921568627,7.62,2.78,1.0
destructive,19,19,2.392156862745098,8.05,2.95,1.0
destructor,20,19,0.09803921568627451,10.11,2.4,0.95
desultory,18,6,0.0392156862745098,14.17,0.75,0.3333333333333333
detach,18,18,0.6666666666666666,9.22,3.0,1.0
detachable,18,18,0.17647058823529413,9.94,2.44,1.0
detachment,19,19,1.2745098039215685,12.53,3.17,1.0
detail,19,19,19.392156862745097,9.79,3.05,1.0
detailed,18,18,3.9215686274509802,7.0,2.43,1.0
detailer,20,20,0.0392156862745098,10.05,2.84,1.0
detain,19,18,1.8235294117647058,12.28,2.35,0.9473684210526315
detainee,20,20,0.21568627450980393,13.8,4.37,1.0
detainment,20,19,0.11764705882352941,13.05,4.58,0.95
detect,19,19,5.117647058823529,9.53,2.67,1.0
detectable,20,19,0.27450980392156865,11.89,3.0,0.95
detection,18,18,1.6666666666666667,10.33,4.24,1.0
detective,19,19,61.11764705882353,6.58,1.8,1.0
detector,19,19,3.2549019607843137,9.42,3.44,1.0
detente,18,9,0.058823529411764705,15.44,2.92,0.5
detention,19,19,6.529411764705882,10.16,2.29,1.0
deter,18,17,0.39215686274509803,12.24,2.75,0.9444444444444444
detergent,18,18,1.0196078431372548,7.33,2.3,1.0
deteriorate,19,18,0.5294117647058824,11.78,2.29,0.9473684210526315
deteriorating,18,17,0.6470588235294118,10.76,3.63,0.9444444444444444
deterioration,18,17,0.5098039215686274,12.65,3.48,0.9444444444444444
determinate,18,16,0.0196078431372549,11.81,4.02,0.8888888888888888
determination,18,18,2.784313725490196,8.94,2.96,1.0
determinative,18,15,0.0196078431372549,12.87,2.77,0.8333333333333334
determine,18,18,8.392156862745098,8.89,2.0,1.0
determinism,18,17,0.0196078431372549,13.71,3.57,0.9444444444444444
determinist,19,17,0.0392156862745098,13.41,3.94,0.8947368421052632
deterministic,18,14,0.11764705882352941,13.0,4.37,0.7777777777777778
deterrence,19,17,0.0392156862745098,14.12,2.52,0.8947368421052632
deterrent,18,18,0.43137254901960786,11.78,1.96,1.0
detest,21,19,1.4313725490196079,10.47,3.78,0.9047619047619048
detestable,19,19,0.19607843137254902,13.0,2.71,1.0
detestation,21,13,,12.8184,3.96,0.6190476190476191
dethrone,18,18,0.09803921568627451,10.94,3.54,1.0
dethronement,18,13,0.0196078431372549,14.23,2.28,0.7222222222222222
detonate,18,17,2.0784313725490198,10.06,2.95,0.9444444444444444
detonation,21,19,1.8235294117647058,12.74,2.88,0.9047619047619048
detonative,18,12,0.0196078431372549,15.58,3.75,0.6666666666666666
detonator,19,19,2.372549019607843,10.63,2.65,1.0
detour,19,19,2.0980392156862746,9.11,2.98,1.0
detoured,18,18,0.058823529411764705,10.56,4.23,1.0
detox,21,20,1.3333333333333333,16.335210000000004,4.13,0.9523809523809523
detoxification,19,18,0.0196078431372549,14.67,3.6,0.9473684210526315
detoxifier,19,16,0.0196078431372549,13.69,3.7,0.8421052631578947
detoxify,20,18,0.058823529411764705,14.61,4.13,0.9
detract,19,19,0.13725490196078433,12.84,2.65,1.0
detrain,20,14,0.0196078431372549,13.0,3.23,0.7
detriment,18,17,0.5098039215686274,13.41,3.26,0.9444444444444444
detrimental,19,19,0.37254901960784315,12.16,3.69,1.0
detritus,18,7,0.1568627450980392,13.29,5.77,0.3888888888888889
detune,20,7,0.0392156862745098,12.86,0.9,0.35
deuce,18,18,2.8627450980392157,10.33,3.5,1.0
deuterium,19,7,0.11764705882352941,16.14,3.58,0.3684210526315789
devaluate,20,16,0.0196078431372549,12.19,3.89,0.8
devaluation,18,15,0.0392156862745098,12.73,3.83,0.8333333333333334
devalue,19,18,0.09803921568627451,12.67,3.91,0.9473684210526315
devastate,20,20,0.37254901960784315,9.8,2.26,1.0
devastating,18,18,2.7254901960784315,11.06,2.92,1.0
devastation,19,18,0.9607843137254902,10.83,2.96,0.9473684210526315
devastator,20,16,0.058823529411764705,11.25,3.3,0.8
develop,18,18,9.607843137254902,7.28,1.67,1.0
developer,18,18,0.9019607843137255,10.28,2.97,1.0
development,19,19,12.254901960784315,8.63,1.83,1.0
developmental,19,19,0.37254901960784315,9.63,2.61,1.0
deviance,19,17,0.058823529411764705,14.59,3.94,0.8947368421052632
deviancy,20,16,0.0392156862745098,13.94,4.97,0.8
deviant,19,17,1.0588235294117647,14.12,4.23,0.8947368421052632
deviate,18,18,0.7450980392156863,13.11,3.03,1.0
deviation,18,17,0.7254901960784313,12.53,2.58,0.9444444444444444
deviationism,18,10,0.0196078431372549,16.5,2.51,0.5555555555555556
device,18,18,18.15686274509804,8.06,3.44,1.0
devil,18,18,41.333333333333336,5.0,1.97,1.0
deviled,19,18,0.5686274509803921,9.83,3.87,0.9473684210526315
devilfish,19,14,0.09803921568627451,13.21,4.66,0.7368421052631579
devilish,18,18,0.5098039215686274,8.72,2.97,1.0
devilishness,19,19,0.0196078431372549,10.37,3.5,1.0
devilled,20,12,0.09803921568627451,11.08,3.5,0.6
devilry,19,16,0.0392156862745098,12.38,4.47,0.8421052631578947
deviltry,19,11,0.0196078431372549,14.64,3.8,0.5789473684210527
devious,19,19,1.7450980392156863,9.79,2.8,1.0
deviousness,18,18,0.0392156862745098,11.89,2.85,1.0
devise,21,20,0.6274509803921569,10.75,3.51,0.9523809523809523
devoid,18,16,0.7058823529411765,12.19,4.02,0.8888888888888888
devoir,19,7,,13.86,3.39,0.3684210526315789
devolution,18,14,0.0196078431372549,13.36,3.03,0.7777777777777778
devolve,18,14,0.09803921568627451,13.43,3.01,0.7777777777777778
devote,20,19,1.9607843137254901,9.58,2.04,0.95
devoted,20,20,8.019607843137255,9.55,3.49,1.0
devotee,20,18,0.13725490196078433,12.44,2.97,0.9
devotion,18,18,4.137254901960785,11.78,3.93,1.0
devotional,18,18,0.0392156862745098,11.33,3.94,1.0
devour,18,17,1.0588235294117647,10.18,3.32,0.9444444444444444
devourer,19,19,0.1568627450980392,10.11,2.16,1.0
devout,18,16,0.7450980392156863,10.44,4.21,0.8888888888888888
devoutness,20,17,0.0196078431372549,11.24,2.73,0.85
dew,19,19,2.1372549019607843,7.37,2.59,1.0
dewberry,19,12,0.0196078431372549,13.67,5.73,0.631578947368421
dewdrop,19,19,0.1568627450980392,8.68,3.16,1.0
dewlap,18,6,0.0196078431372549,12.33,3.93,0.3333333333333333
dewy,21,18,0.23529411764705882,10.17,4.88,0.8571428571428571
dexterity,18,18,0.4117647058823529,11.28,3.16,1.0
dexterous,19,17,0.09803921568627451,14.71,4.98,0.8947368421052632
dextral,18,11,0.0196078431372549,14.09,4.09,0.6111111111111112
dextrose,19,16,0.23529411764705882,16.38,3.93,0.8421052631578947
dhal,18,3,0.0196078431372549,18.33,4.73,0.16666666666666666
dhow,18,4,0.058823529411764705,17.75,0.5,0.2222222222222222
diabetes,19,19,3.2549019607843137,10.74,5.01,1.0
diabetic,18,18,2.215686274509804,11.17,3.82,1.0
diabolic,19,18,0.0784313725490196,12.72,4.34,0.9473684210526315
diabolical,18,16,1.0784313725490196,11.75,3.79,0.8888888888888888
diabolism,19,16,0.0196078431372549,16.88,3.16,0.8421052631578947
diabolist,21,15,0.0196078431372549,16.27,3.69,0.7142857142857143
diadem,19,9,0.0392156862745098,16.56,4.98,0.47368421052631576
diagnosable,18,18,0.0196078431372549,11.0,2.87,1.0
diagnose,18,18,1.0392156862745099,10.72,3.91,1.0
diagnosis,18,18,4.294117647058823,12.33,3.91,1.0
diagnostic,20,20,1.411764705882353,12.9,3.24,1.0
diagnostician,20,19,0.23529411764705882,16.53,4.62,0.95
diagonal,18,18,0.5294117647058824,8.0,1.91,1.0
diagram,19,19,1.2745098039215685,9.63,2.56,1.0
dial,19,19,8.862745098039216,6.68,3.16,1.0
dialect,18,18,1.3333333333333333,11.5,2.64,1.0
dialectic,18,17,0.13725490196078433,16.18,3.76,0.9444444444444444
dialectical,20,14,0.0784313725490196,13.93,2.73,0.7
dialectician,18,11,0.0196078431372549,14.64,5.57,0.6111111111111112
dialectics,18,10,0.17647058823529413,15.3,3.02,0.5555555555555556
dialer,20,20,0.0392156862745098,11.15,3.67,1.0
dialogical,18,8,0.0196078431372549,15.5,3.16,0.4444444444444444
dialogue,19,19,4.078431372549019,11.0,3.5,1.0
dialysis,19,17,1.5098039215686274,13.0,3.61,0.8947368421052632
dialyze,18,10,0.0196078431372549,14.7,4.64,0.5555555555555556
diamante,21,8,0.058823529411764705,14.0,5.73,0.38095238095238093
diameter,18,18,1.0392156862745099,10.44,1.92,1.0
diametric,18,10,0.0196078431372549,12.9,3.73,0.5555555555555556
